id:_0veOqO-HM0
title:Naruto's not becoming hokage ? Discussion
categoryId:24
publishedAt:2012-01-17
location:36.047273657804055,149.63008032012627
description:Whats up people double4anime here with a Naruto discussion.Today were going to be talking about Naruto's Hokage Dream. Hope everyone enjoys and I'm out.
Author:The shiled	AuthorChannelId:UC960dJqZMtCmzuqsfwUOveQ	Comment:he become hokage im from future 2017	PublishAt:2017-04-05T18:32:27.000Z
Author:Sebastian Swan	AuthorChannelId:UCR-aUSQmSxzmOdQb1Ly_zOw	Comment:well the future now he' s hokage now	PublishAt:2016-11-13T05:39:37.000Z
Author:mass boss	AuthorChannelId:UC6_C_qxZ78gorMVzJTUdv5w	Comment:in the last episode,he's going to become hokage.i read all the books	PublishAt:2013-12-15T23:22:57.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:huh	PublishAt:2012-04-24T21:03:34.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:lol	PublishAt:2012-04-10T21:13:11.000Z
Author:Marcelo souza	AuthorChannelId:UCI5mDGN8KF4XphFjxyRDaow	Comment:Uhm I think he will! U MESS WITH UR HAIR TOO MUCH	PublishAt:2012-04-10T15:34:36.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:LOL	PublishAt:2012-03-27T03:19:17.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:yeah believe me i want him too. But since its a drama he might unexpectedly die before obtaining that position bro	PublishAt:2012-03-27T03:19:07.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:agreed	PublishAt:2012-03-27T03:18:29.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:lol wierd but interesting.	PublishAt:2012-03-27T03:18:19.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:lol thanks bro. And yeah man I agree with you.	PublishAt:2012-03-27T03:18:09.000Z
Author:Cashmoney21	AuthorChannelId:UCocCzdEv3WYUqRDVNj7IBLA	Comment:i cant tell you who is but i can tell who he isnt	PublishAt:2012-03-26T12:27:12.000Z
Author:Pandabearmadness	AuthorChannelId:UCpJfPlEPlzrb32RLkVYAHDA	Comment:fuck these dicks, double4 you always have solid vids in my opinion. people here trolling prolly dont even like naruto. just because kishi says something about the manga doesn't mean its going to happen. 	PublishAt:2012-03-26T02:22:23.000Z
Author:Pandabearmadness	AuthorChannelId:UCpJfPlEPlzrb32RLkVYAHDA	Comment:then tell me who tobi is if it is so predicatable. 	PublishAt:2012-03-26T02:19:05.000Z
Author:C94Spots	AuthorChannelId:UCUivrmKcPIsNwNXrV9OuDaA	Comment:i think to be honest :P dont laught or call me crazy when i doesn't happen . They will team up as 1 split up sage power to defeat madara / tobi or whatever it is.	PublishAt:2012-03-26T01:09:06.000Z
Author:C94Spots	AuthorChannelId:UCUivrmKcPIsNwNXrV9OuDaA	Comment:why people think it would end like that.... i think its gonna end like 1 of them would be dying and Sakura heals the person from the death .... ( but i doubt that ) its eather both die , both live and split ways or  1 dies with chance being healed by a restruction jutsu :P maybe tsunade gives her life :P ( hope for it beacause 1 kage must freaking die since gaara already did its onikuu or tsubade. )	PublishAt:2012-03-26T01:06:48.000Z
Author:Coolbman2	AuthorChannelId:UCRfqU49FVUA-c0vXj6vhzMw	Comment:i think the kage need to step down 	PublishAt:2012-03-26T00:13:44.000Z
Author:Animepro100	AuthorChannelId:UCrfjvNN-JyEN-1vD-FyYR9w	Comment:he will become hokage...dude masashi sed it in his interview...."he should be hokage " that wat he sed..!!!	PublishAt:2012-03-25T23:46:55.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:lol keep trolling me	PublishAt:2012-03-25T23:39:12.000Z
Author:Wyatt Dalton Coates	AuthorChannelId:UCAbvjqPQOZDtzw22X6o1GQQ	Comment:The naruto shippuden has already ended a long time ago naruto becomes 6th hokage double4anime your fucking dumber then my dogs little shits you fuckin queer	PublishAt:2012-03-25T11:19:17.000Z
Author:mrmarx8	AuthorChannelId:UC5Oi0yMr_Yr4NQztNjJcoZg	Comment:man you dumb. if you think naruto's not gonna be the hokage youre crazy. just wait and see.	PublishAt:2012-03-10T01:11:08.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@kumungaboy well thats a possibility 	PublishAt:2012-01-22T01:10:19.000Z
Author:The_Bronx_Beast	AuthorChannelId:UCg91YwjT-sE5KErRrIY_RqA	Comment:Naruto and Sasuke are going to kill each other in the final battle between themselves 	PublishAt:2012-01-19T05:06:43.000Z
Author:The Fallen	AuthorChannelId:UC2ZC8a3AnEDz4nU203eD-hA	Comment:@Double4anime it really is	PublishAt:2012-01-18T16:08:46.000Z
Author:reawrestling	AuthorChannelId:UC05r0P4CJiI870YTxSvczug	Comment:naruto being hokage is more than likely will happen at the end of the series because if they dont it will be turned another series of naruto but sasuke does not need to be alive for his life nt be clazend since he could risk his life and have naruto to thank him but meh it will happen and ichigo loses million times to win the big fight 	PublishAt:2012-01-18T03:04:16.000Z
Author:VJ: IT'S TIME TO KICK IT!	AuthorChannelId:UCITaswQo8zPXLZ1rq1K1eeg	Comment:@Double4anime, Maybe but one thing for sure, he meat what he said. He can't be Hokage if he can't saved a friend. We all know that Tobi lied to Sasuke, anyway. And he using him as a pawn. I hope Naruto ripped Tobi in two.	PublishAt:2012-01-18T01:15:55.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@TheCash21011x lol	PublishAt:2012-01-18T01:11:45.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@TheHaruNatsumi yeah but the problem is that naruto has a mind switching head	PublishAt:2012-01-18T01:11:37.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@TheRainbowTribe yeah man, lol the chosen one	PublishAt:2012-01-18T01:11:17.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@kinglouis1993 i agree man its annoying	PublishAt:2012-01-18T01:10:50.000Z
Author:Cashmoney21	AuthorChannelId:UCocCzdEv3WYUqRDVNj7IBLA	Comment:my guess, is he gonna become hokage and die...meh this show is too predicatble  pokemon!!!!	PublishAt:2012-01-18T00:15:55.000Z
Author:TheRainbowTribe	AuthorChannelId:UCpd0bz4bMFaThzw9coR25Vg	Comment:@Double4anime lol, too true, but the Naruto world is a place where ninja's can actually get ahead by cheating so can we really fault him?  Even Naruto uses shadow clones to master things that should have taken more years according to the other ninjas.  Of course, the biggest slaps in the face are that Guy and Rock Lee have been relegated to comic relief, while Naruto is the "chosen" one, meaning hard work and determination really can't stand up to things like Kabuto, Uchihas, fate.	PublishAt:2012-01-17T19:08:32.000Z
Author:Von The Stampede	AuthorChannelId:UCny_3HWjJcgH4TZp8_ou-DA	Comment:@Double4anime lmao	PublishAt:2012-01-17T18:00:01.000Z
Author:The Fallen	AuthorChannelId:UC2ZC8a3AnEDz4nU203eD-hA	Comment:@Double4anime Seriously its like we get this big timeskip in Naruto yet we have yet to actually see what he learned which is the same with the others like Neji and the gang. Whereas with saskue he learns a bunch of diverse techniques which is BS. Its all Kishi's fault for his favoritism. Yea saskue had every single one of his fights handed to him and its a shame because ppl just seem to think sasue is SOO strong when he's NOT	PublishAt:2012-01-17T15:48:22.000Z
Author:The Fallen	AuthorChannelId:UC2ZC8a3AnEDz4nU203eD-hA	Comment:@Double4anime exactly while the first narruto was great, it would piss me off if Kishi basically just gave us a slap in the face with a BS ending	PublishAt:2012-01-17T15:42:25.000Z
Author:Hunter xhunter	AuthorChannelId:UCqDEHJm67iSj1-j8Q2m5uqQ	Comment:Sasuke is emo and evil LoL	PublishAt:2012-01-17T14:57:38.000Z
Author:sameold23	AuthorChannelId:UCxO0FN1p1disbzE94p4QLBw	Comment:He'll become hokage.	PublishAt:2012-01-17T14:55:58.000Z
Author:Admiral Kizaru	AuthorChannelId:UC2a3xQoLpEeeEj51IJ0Zzaw	Comment:lol he will become hokage in the end 	PublishAt:2012-01-17T13:26:09.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@phoniexkai lol that would f**** suck bro	PublishAt:2012-01-17T12:45:21.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@ninjakid164 OMG I WOULD HATE THAT> ALL THIS TIME THEY WERE EXPLAINING A HISTORY BOOK	PublishAt:2012-01-17T12:44:58.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@Shadowsmoke11 LOLOL	PublishAt:2012-01-17T12:44:16.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@coolbman2 well maybe but I think its going to be a bit different 	PublishAt:2012-01-17T12:44:11.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@coolbman2 yeah i guess but naruto rather change the kyuubi into peace weapons	PublishAt:2012-01-17T12:43:39.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@coolbman2 yeah man youre completely right no lie he will impact the world greatly even in death. But shika being his right hand man is probably mehh. I mean I think its sasuke lol jk	PublishAt:2012-01-17T12:42:28.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@KHfanatic1996 thats a bit hard to belief lol	PublishAt:2012-01-17T12:41:11.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@coolguitarchannel yes lol i hope that to. And I mean either way hes going to have to become hokage if he wants sasuke to stay in the village. First Class Service lol	PublishAt:2012-01-17T12:40:48.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@TheRainbowTribe well even if he did get the rinnegan mastering it wouldn't be easy, however judging from how sasuke goes about things I am 100 percent wrong.	PublishAt:2012-01-17T12:39:26.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@piro632 lol man	PublishAt:2012-01-17T12:38:19.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@callofdutyrocks2011 cool man, hard to say how Kishimoto will end the series	PublishAt:2012-01-17T12:38:09.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@callofdutyrocks2011 huh lol	PublishAt:2012-01-17T12:37:43.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@kinglouis1993 well in the first 2 it seemed as if all his techniques were old, i mean other than him growing a few inches he didn't learn too much. But I guess you're right about the way sasuke won all of his fights.	PublishAt:2012-01-17T12:37:25.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@FPSrusher97 same here, its gonna go down in tokyo if that happens lol jk	PublishAt:2012-01-17T12:35:17.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@kinglouis1993 lol man thats not nice, but then again wasting my time for 5 years is also pretty mean 	PublishAt:2012-01-17T12:34:36.000Z
Author:Double4anime	AuthorChannelId:UC-_27suqlGoF6R856LoR5GQ	Comment:@CodeProvider heh what lol	PublishAt:2012-01-17T12:34:04.000Z
Author:Von The Stampede	AuthorChannelId:UCny_3HWjJcgH4TZp8_ou-DA	Comment:what if the series had one of the biggest bull shit endings u ever say plus idk if there friendship can be ever be revived that's just me. if sasuke tears bring back naruto  to life ( they did the same thing with pokemon the 1st movie)	PublishAt:2012-01-17T08:32:27.000Z
Author:ninjakid164	AuthorChannelId:UCvsTv3QdTWUZwviJBBd3Hqw	Comment:it'll be funny if  in the ending we find out all of this stuff already happened and its just someone reading a book about what happened to some people or sakura/hinata talking to kids about the legend of naruto. kind of like the books jiraiya wrote in his spare time. 	PublishAt:2012-01-17T06:50:31.000Z
Author:CommandoSoldier	AuthorChannelId:UCOS-kuUbtZy2DkOy4P7mBLA	Comment:Naruto: Fuck that shit! Imma go trollin instead xD. Dattebaoy :D.	PublishAt:2012-01-17T06:45:39.000Z
Author:Coolbman2	AuthorChannelId:UCRfqU49FVUA-c0vXj6vhzMw	Comment:As a result Naruto will die from taking on such a burden and leave a huge impact on the ninja world (which will have become united after the war) his grave stone will be right next to sasukes and he'll have a stone face in the village next to tsunades. Sakura will become a jonin and the leader of a team of genin ninja that are just like Team 7 was in the beginning. 	PublishAt:2012-01-17T06:30:37.000Z
